先生はジョンを叱った。|せんせいはジョンをしかった。
ー田中さんは迎えに来てくれましたか。<br />ーはい、来てくれました。|ーたなかさんはむかえにきてくれましたか。<br/>ーはい、きてくれました。
ーあなたはアメリカにいた時、学生でしたか。<br />ーはい、そうでした。|ーあなたはアメリカにいたとき、がくせいでしたか。<br/>ーはい、そうでした。
－行きますか。<br />－はい、行きます。|いきますか。<br/>はい、いきます。
－私達は行きましょうか。<br />－いや、私達はよしましょう。|わたしたちはいきましょうか。<br/>いや、わたしたちはよしましょう。
－これは何ですか。<br />－それは花子からのプレゼントです。|これはなんですか。<br/>それははなこからのプレゼントです。
私山田と申します。|わたくしやまだともうします。
君は今何年生ですか。|きみはいまなんねんせいですか。
この本は面白いよ。|このほんはおもしろいよ。
あの人誰ですか。|あのひとだれですか。
あ、電車来た。|あ、でんしゃきた。
皆さん、お食事が出来ました。|みなさん、おしょくじができました。
今日田中さんから君に電話があったよ。|きょうたなかさんからきみにでんわがあったよ。
もしもし、靴の紐がほどけてますよ。|もしもし、くつのひもがほどけてますよ。
－コーヒー飲みませんか。<br />－じゃ、それもらいます。|コーヒーのみませんか。<br/>じゃ、それもらいます。
今晩電話を下さい。|こんばんでんわをください。
－きのうパーティにこなかったね。<br />－うん、ちょっと忙しかったから。|ーきのうパーティにこなかったね。<br/>ーうん、ちょっといそがしかったから。
田中先生に聞いたらどうですか。|たなかせんせいにきいたらどうですか。
お茶がはいりましたけどいかがですか。|おちゃがはいりましたけどいかがですか。
僕は雪子はあまり好きじゃない。しかし春子は好きだ。|ぼくはゆきこはあまりすきじゃない。しかしはるこはすきだ。
僕は雪子はあまり好きじゃない。しかし春子は雪子が好きだ。|ぼくはゆきこはあまりすきじゃない。しかしはるこはゆきこがすきだ。
私はいい人を見つけたので、早速田中さんにその人に会ってもらった。|わたしはいいひとをみつけたので、さっそくたなかさんにそのひとにあってもらった。
私はいい人を見つけたので、早速その人に田中さんに会ってもらった。|わたしはいいひとをみつけたので、さっそくそのひとにたなかさんにあってもらった。
忙しい私はテレビも見られない。|いそがしいわたしはテレビもみられない。
音楽が好きな私は一日中音楽をきいている。|おんがくがすきなわたしはいちにちじゅうおんがくをきいている。
若いあなたにはまだ分からないでしょう。|いわかいあなたにはまだかわからないでしょう。
私は部屋で友達と話していた。|わたしはへやでともだちとしはなしていた。
あなたは昨日部屋で友達と何をしていましたか。|あなたはきのうへやでともだちとをなにをしていましたか。
あのね、京子昨日一郎さんとデートしたのよ。|あのね、きょうこきのういちろうさんとデートしたのよ。
山田さんは去年アメリカに行った。英語が勉強したかったのだ。|やまださんはきょねんアメリカにいった。えいごがべんきょうしたかったのだ。
上田さんは十年前に買った車にまだ乗っている。|うえださんはじゅうねんまえにかったくるまにまだってのっている。
－ボブは昨日来ましたか。<br>－ええ、来ましたよ。|ボブはきのうまきましたか。<br/>ええ、まきましたよ。
ー田中さんたち、遅いわねえ。<br />ー忘れているんじゃないかしら。|ーたなかさんたち、いおそいわねえ。<br/>ーれわすれているんじゃないかしら。
ここから大阪まで車で一時間かかる。|ここからおおさかまでくるまでいちじかんかかる。
今七時です。|いましちじです。
僕の彼女、とてもきれいなんだ。|ぼくのかのじょ、とてもきれいなんだ。
大学を出た彼はすぐ結婚した。|だいがくをたでたはかれはすぐけっこんした。
山田さんは奥さんに逃げられた。|やまださんはさんおくさんにげにげられた。
太郎は春子にたばこを吸われた。|たろうははるこにたばこをわすわれた。
木村さんは美人に横に座られてうれしそうだ。|きむらさんはびじんによこにらすわられてうれしそうだ。
僕は雨に降られた。|はぼくはあめにらふられた。
ジョンはビルにぶたれた。|ジョンはビルにぶたれた。
この絵は十九世紀に描かれた。|このえはじゅうきゅうせいきにかかかれた。
酒は米から作られる。|さけはこめかららつくられる。
マーガレットはポールにイヤリングをもらった。|マーガレットはポールにイヤリングをもらった。
メアリーはスティーブにアパートに来てもらった。|メアリーはスティーブにアパートにてきてもらった。
私は父にカメラを買ってもらった。|わたしはちちにカメラをってかってもらった。
山口さんはアメリカに行くことにした。|やまぐちさんはアメリカにくいくことにした。
山口さんはアメリカに行くことになった。|やまぐちさんはアメリカにくいくことになった。
先生はフレッドを停学にした。|せんせいはフレッドをていがくにした。
フレッドは停学になった。|フレッドはていがくになった。
先生はアメリカの大学で日本語をお教えになります。|せんせいはアメリカのだいがくでにほんごをおおしえになります。
先生はアメリカの大学で日本語を教えられます。|せんせいはアメリカのだいがくでにほんごをおしえられます。
先生はゴルフをなさるとおっしゃいました。|せんせいはゴルフをなさるとおっしゃいました。
先生は今ご本をお読みでいらっしゃいます。|せんせいはいまごほんをおみよみでいらっしゃいます。
先生は今ご本を読んでいらっしゃいます。|せんせいはいまごほんをんでよんでいらっしゃいます。
先生は今ご本をお読みだ。|せんせいはいまごほんをおみよみだ。
お若いですね。|おいわかいですね。
お父さんはお元気でいらっしゃいますか。|おさんとうさんはおげんきでいらっしゃいますか。
私がそのお荷物をお持ちします。|わたしがそのおにもつをおちもちします。
母がお連れいたします。|ははがおつれいたします。
先生はお車をお持ちですか。|せんせいはおくるまをおちもちですか。
田中先生はご本をお書きになった。|たなかせんせいはごほんをおきかきになった。
今晩はお刺身とお吸い物にしましょうか。|こんばんはおさしみとおいすいものにしましょうか。
お手洗いはどこですか。|おいてあらいはどこですか。
先生は今日研究室にいらっしゃるはずです。|せんせいはきょうけんきゅうしつにいらっしゃるはずです。
私が先生にご連絡するつもりです。|わたしがせんせいにごれんらくするつもりです。
山田さんは先生です。|やまださんはせんせいです。
山田さんは先生ですか。|やまださんはせんせいですか。
山田さんは先生ですね。|やまださんはせんせいですね。
来てね。|てきてね。
一緒に行きましょうね。|にいっしょにきいきましょうね。
学校へ行きなさいね。|がっこうへきいきなさいね。
こっちへ来るな。|こっちへるくるな。
動くな。|くうごくな。
一郎は一年生だな。|いちろうはいちねんせいだな。
一緒に行こうな。|にいっしょにこいこうな。
おかしいな。誰もいない。どうしたんだろう。|おかしいな。もだれもいない。どうしたんだろう。
それはちょっと難しいですな。|それはちょっとしいむずかしいですな。
私は知りませんよ。|わたしはりしりませんよ。
俺は負けないぞ。|おれはけまけないぞ。
これは金だぜ。|これはかねだぜ。
今晩は飲もうよ。|こんばんはものもうよ。
今晩は飲もうぜ。|こんばんはものもうぜ。
私はまだ十八ですわ。|わたしはまだじゅうはちですわ。
あたし、うれしいわ。|あたし、うれしいわ。
これ、高いわね。|これ、いたかいわね。
私も行くわよ。|わたしもくいくわよ。
きれいだねえ。|きれいだねえ。
きれいだわねえ。|きれいだわねえ。
鈴木君はよく働くなあ。|すずきくんはよくくはたらくなあ。
すてきだわあ。|すてきだわあ。
これは君の本かい。|これはきみのほんかい。
これは誰の本だい。|これはだれのほんだい。
友子さん、パーティーに行かないの？|ともこさん、パーティーにかいかないの
何を買うの？|をなにをうかうの
私にも出来るかしら。|わたしにもるできるかしら。
明日は雨かなあ。|あしたはあめかなあ。
私は良子に花を上げた。|わたしはよしこにはなをげあげた。
大野さんは山本さんに本を上げた。|おおのさんはやまもとさんにほんをげあげた。
君はアンに何を上げましたか。|きみはアンにをなにをげあげましたか。
花子は私に本をくれた。|はなこはわたしにほんをくれた。
花子は私の息子に本をくれた。|はなこはわたしのむすこにほんをくれた。
私は先生に本を差し上げました。|わたしはせんせいにほんをさしげあげました。
私は弟に本をやった。|わたしはおとうとにほんをやった。
ひろしは猫にミルクをやった。|ひろしはねこにミルクをやった。
私はトムにケーキをやりました。|わたしはトムにケーキをやりました。
私は信男さんにネクタイを買って上げました。|わたしはのぶおさんにネクタイをってかってげあげました。
僕は春子さんを慰めて上げた。|はぼくははるこさんをめなぐさめてげあげた。
君はお母さんに何をして上げましたか。|きみはおさんかあさんにをなにをしてげあげましたか。
田中さんはスミスさんに本を貸して上げた。|たなかさんはスミスさんにほんをしかしてげあげた。
花子は私に日本語を教えてくれた。|はなこはわたしににほんごをおしえてくれた。
メアリーは私の娘にペンを買って呉れた。|メアリーはわたしのむすめにペンをかってくれた。
私達はジョンのために働いた。|わたしたちはジョンのためにいはたらいた。
私は先生にピアノを弾いて差し上げました。|わたしはせんせいにピアノをいひいてしげさしあげました。
私は妹にレコードを買って遣った。|わたしはいもうとにレコードをってかってったやった　。
じゅんは猫に魚を焼いて遣った。|じゅんはねこにさかなをいやいてったよった。
私はジョンにラジオを貸した遣りました。|わたしはジョンにラジオをしかしたりやりました。
私がご飯を食べている間山田さんはテレビを見ていました。|わたしがごごはんをべてたべているあいだやまださんはテレビをてみていました。
私がご飯を食べている間に山田さんは来た。|わたしがごごはんをべてたべているあいだにやまださんはたきた。
スミスさんは日本にいる間英語を教えていました。|スミスさんはにほんにいるあいだえいごをおしえていました。
子供達がテレビを見ている間私は本を読んでいました。|こどもたちがテレビをてみているあいだわたしはほんをんでよんでいました。
高橋さんはアメリカにいる間にゴルフを覚えました。|たかはしさんはアメリカにいるあいだにゴルフをえおぼえました。
中川さんのお母さんは中川さんがパリに留学している間に病気になりました。|なかがわさんのおさんかあさんはなかがわさんがパリにりゅうがくしているにあいだにびょうきになりました。
秋子は子供がいない間に本を読む。|あきこはこどもがいないにまにほんをむよむ。
夏休みの間レストランでアルバイトをしました。|みなつやすみのあいだレストランでアルバイトをしました。
夏休みの間にガールフレンドが出来ました。|みなつやすみのあいだにガールフレンドがまできました。
長い間母に手紙を書いていません。|いながいあいだははにてがみをいかいていません。
若い間に本を出来るだけたくさん読みなさい。|いわかいあいだにほんをるできるだけたくさんみよみなさい。
日本とアメリカの間には海しかない。|にほんとアメリカのあいだにはうみしかない。
山口と僕との間は決して悪くない。|やまぐちとぼくとのあいだはしてけっしてくわるくない。
若い間にスポーツを色々した方がいいです。|いわかいあいだにスポーツを々いろいろしたがほうがいいです。
雪子はご飯を食べている間テレビを見ていた。|ゆきこはごごはんをべてたべているあいだテレビをてみていた。
雪子はご飯を食べながらテレビを見ていた。|ゆきこはごごはんをべたべながらテレビをてみていた。
この本はあまりよくない。|このほんはあまりよくない。
鈴木さんはあまり食べない。|すずきさんはあまりべたべない。
僕はあまり速く走れません。|ぼくはあまりはやくはしれません。
スコットがあまり失礼なことを言うのでサリーは怒って帰ってしまった。|スコットがあまりしつれいなことをういうのでサリーはっておこってってかえってしまった。
井上さんはあまり酒を飲んだので病気になった。|いのうえさんはあまりさけをんのんだのでびょうきになった。
それはあんまりです。|それはあんまりです。
この町には大学が三つあります。|このまちにはだいがくがつみっつあります。
エッフェルトーはパリにある。|エッフェルトーはパリにある。
私のアパートにはテレビが二台ある。|わたしのアパートにはテレビがにだいある。
デトロイトはミシガン州にあります。|デトロイトはミシガンしゅうにあります。
和田さんのうちはクーラーがない。|わださんのうちはクーラーがない。
ー早稲田大学はどこにありますか。<br />ー早稲田大学は東京にあります。|ーわせだだいがくはどこにありますか。<br/>ーわせだだいがくはとうきょうにあります。
ー東京には早稲田大学しかありませんか。<br />ーいいえ、東京には大学がたくさんあります。|ーとうきょうにはわせだだいがくしかありませんか。<br/>ーいいえ、とうきょうにはだいがくがたくさんあります。
この車にはカー・ステレオがある。|このくるまにはカー・ステレオがある。
僕は車がある。|はぼくはくるまがある。
僕には子供が三人ある。|ぼくにはこどもがさんにんある。
今日サムのうちでパーティーがある。|きょうサムのうちでパーティーがある。
ジョンはいい車を持っている。|ジョンはいいくるまをってもっている。
この大学はいい図書館を持っている。|このだいがくはいいとしょかんをってもっている。
それはもうジョンに話してある。|それはもうジョンにしはなしてある。
飲み物はもう買ってあります。|みのみものはもうってかってあります。
窓が開いている。|まどがいあいている。
僕は窓を開けておく。|はぼくはまどをけあけておく。
メイソンさんは日本へ行った後で病気になりました。|メイソンさんはにほんへいったであとでびょうきになりました。
僕は授業の後で図書館に行った。|はぼくはじゅぎょうのであとでとしょかんにいった。
ご飯を食べた後すぐ勉強しました。|ごはんをべたたべたあとすぐべんきょうしました。
山田さんはビールを飲んだ後で寝てしまった。|やまださんはビールをんのんだであとでてねてしまった。
戦争が終わった後東京に戻りました。|せんそうがおわったあととうきょうにもどりました。
食事の後でテニスをした。|しょくじのであとでテニスをした。
私がうちへ帰った後で雨が降った。|わたしがうちへったかえったであとであめがったふった。
日本へ来てから何年になりますか。|にほんへてきてからなんねんになりますか。
ご飯を食べたらすぐ勉強しました。|ごはんをべたたべたらすぐべんきょうしました。
山田さんはビールを飲んだら寝てしまった。|やまださんはビールをんのんだらてねてしまった。
戦争が終わったら東京に戻りました。|せんそうがわおわったらとうきょうにりもどりました。
日本へ行ったらいいでしょう。|にほんへいったらいいでしょう。
これを読んだらどうですか。|これをんだよんだらどうですか。
この薬を飲めばよくなる。|このくすりをめのめばよくなる。
これは松本先生に聞けば分かります。|これはまつもとせんせいにけきけばかわかります。
その町は車で行けば三十分で行ける。|そのまちはくるまでけいけばさんじゅうぷんでけいける。
安ければ買います。|けやすければいかいます。
時間があれば京都へも行きたい。|じかんがあればきょうとへもきいきたい。
見たければ見なさい。|たみたければなみなさい。
出来ればこれも遣って下さい。|できればこれもやってください。
山本さんは来たら知らせて下さい。|やまもとさんはたきたららせしらせてください。
シカゴへ行くのならバスで行ったらどうですか。|シカゴへくいくのならバスでいったらどうですか。
もっと安ければ買いました。|もっとけやすければいかいました。
