先生はジョンを叱った。|せんせいはジョンをしかった。
私は子供達に本を二冊ずつ遣った。|わたしはこどもたちにほんをにさつずつったやった。
どのクラスにも女子学生が六人ずついた。|どのクラスにもじょしがくせいがろくにんずついた。
私は漢字を毎日五つ覚える。|わたしはかんじをまいにちついつつえおぼえる。
毎月三冊本を買っています。|まいつきさんさつほんをってかっています。
こちらは山田さんです。|こちらはやまださんです。
こちのほうが安いよ。|こちのほうがいやすいよ。
お手洗いはこちらです。|おいてあらいはこちらです。
こちが僕の車だ。|こちがぼくのくるまだ。
ー昨日車で湖に行って来たよ。<br>ーその湖には魚がいたかい？|ーきのうくるまでみずうみにっていってたきたよ。<br/>ーそのみずうみにはさかながいたかい
私は辞書をまだ使っている。|わたしはじしょをまだってつかっている。
私は小さな辞書をまだ使っている。|わたしはさちいさなじしょをまだってつかっている。
私は父が買ってくれた小さな辞書をまだ使っている。|わたしはちちがってかってくれたさちいさなじしょをまだってつかっている。
私は中学に入った時に父が買ってくれた小さな辞書をまだ使っている。|わたしはちゅうがくにはいったにときにちちがってかってくれたさちいさなじしょをまだってつかっている。
ジョンは今日授業がないと言った。|ジョンはきょうじゅぎょうがないとったいった。
私は子供が病気だったから行けなかった。|わたしはこどもがびょうきだったからけいけなかった。
私は鈴木さんが行かなければ行かない。|わたしはすずきさんがかいかなければかいかない。
山本は雪子が結婚したことを知らない。|やまもとはゆきこがけっこんしたことをらしらない。
昨日はここにあった本が今日はない。|きのうはここにあったほんがはきょうはない。
宿題がたくさんあったが、疲れていたのですぐ寝てしまった。|しゅくだいがたくさんあったが、れつかれていたのですぐてねてしまった。
「将軍」を読むつもりだったが、テレビで見たから読むのを止めた。|「しょうぐん」をむよむつもりだったが、テレビでたみたからむよむのをめやめた。
陽子は頭が痛くて仕方がないと言った。|ようこはあたまがくいたくてしかたがないとったいった。
陽子は京都に行って、前から買おうと思っていた着物を買った。|ようこはきょうとにっていって、かぜんからおかおうとっておもっていたきものをかった。
リサは来年日本へ行くらしい。|リサはらいねんにほんへくいくらしい。
ボブには日本語は難しすぎるようだ。|ボブにはにほんごはしむずかしすぎるようだ。
あんな所には行きたくないんだ。|あんなところにはきいきたくないんだ。
ナンシーは大学を止めるそうだ。|ナンシーはだいがくをめるやめるそうだ。
人間は考えるあしだとパスカルが言った。|にんげんはかんがえるあしだとパスカルがいった。
本にペットは老人にいいと書いてあった。|ほんにペットはろうじんにいいといかいてあった。
幸子は大学を出た。しかし仕事はなかった。|さちこはだいがくをたでた。しかししごとはなかった。
急に胸が苦しくなったんです。だから病院に行きました。|にきゅうにむねがしくるしくなったんです。だからびょういんにきいきました。
明日は朝五時に起きます。五時半の汽車に乗るんです。|あしたはあさごじにきおきます。ごじはんのきしゃにるのるんです。
私はその晩興奮のあまり寝られなかった。|わたしはそのばんこうふんのあまりねられなかった。
この教科書は文法を重視するあまり面白くないものになってしまった。|このきょうかしょはぶんぽうをじゅうしするあまりおもしろくないものになってしまった。
秋子は恐怖のあまり声も出なかった。|あきこはきょうふのあまりこえもでなかった。
私は喜びのあまり思わず隣の人に抱きついてしまった。|わたしはよろこびのあまりおもわずとなりのひとにだきついてしまった。
日本の英語教育は文法が強調されるあまり会話力の養成が疎かになっているようだ。|にほんのえいごきょういくはぶんぽうがきょうちょうされるあまりかいわりょくのようせいがおろそかになっているようだ。
今度の会合は形式を重んずるあまり内容が乏しくなってしまった。|こんどのかいごうはけいしきをおもんずるあまりないようがとぼしくなってしまった。
私は悲しみのあまり涙も出なかった。|わたしはかなしみのあまりなみだもでなかった。
彼らは心配あまり食事も喉を通らない様子だった。|かれらはしんぱいあまりしょくじものどをとおらないようすだった。
日本語は勉強すればするほど面白くなります。|にほんごはべんきょうすればするほどおもしろくなります。
パーティーは人が多ければ多いほど楽しい。|パーティーはひとがおおければおおいほどたのしい。
機械は簡単であればあるほど壊れにくい。|きかいはかんたんであればあるほどこわれにくい。
この酒は飲めば飲むほど美味しくなります。|このさけはのめばのむほどおいしくなります。
大学はよければよいほど入るのが難しいです。|だいがくはよければよいほどはいるのがむずかしいです。
アパートは駅に近ければ近いほど家賃が高い。|アパートはえきにちかければちかいほどやちんがたかい。
普段元気なら元気なほど体に気を付けた方がいいですよ。|ふだんげんきならげんきなほどからだにきをつけたほうがいいですよ。
授業料は安ければ安いほどいい。|じゅぎょうりょうはやすければやすいほどいい。
玄米はかめばかむほど味が出る。|げんまいはかめばかむほどあじがでる。
日本では子供ばかりか大人さえ漫画を読んでいる。|にほんではこどもばかりかおとなさえまんがをよんでいる。
あの人は絵を見て楽しむばかりか、自分でも絵をかく。|あのひとはえをみてたのしむばかりか、じぶんでもえをかく。
アメリカでは大学生ばかりか、中学生、高校生さえ日本語を勉強している。|アメリカではだいがくせいばかりか、ちゅうがくせい、こうこうせいさえにほんごをべんきょうしている。
僕の寮の部屋は狭いばかりか、窓さえないんです。|ぼくのりょうのへやはせまいばかりか、まどさえないんです。
トムは漢字が読めないばかりか、平仮名さえ読めない|トムはかんじがよめないばかりか、ひらがなさえよめない
父は食べるのが大好きなばかりか、料理はするのも大好きです。|ちちはたべるのがだいすきなばかりか、りょうりはするのもだいすきです。
あの人は勉強だけでなくスポーツもよく出来る。|あのひとはべんきょうだけでなくスポーツもよくできる。
この本は面白いばかりではなく、とてもためになる。|このほんはおもしろいばかりではなく、とてもためになる。
私は日本語が話せるどころか、一度も勉強したことがありません。|わたしはにほんごがはなせるどころか、どもべんきょうしたことがありません。
スミスさんは日本語が書けないどころか、日本語で小説さえ書ける。|スミスさんはにほんごがかけないどころか、にほんごでしょうせつさえかける。
クラークさんは日本語が話せるばかりか、韓国語さえ話せる。|クラークさんはにほんごがはなせるばかりか、かんこくごさえはなせる。
ジムは日本語で会話が出来ないどころか、簡単な挨拶も出来ない。|ジムはにほんごでかいわができないどころか、かんたんなあいさつもできない。
この論文は書き直すべきだ。|このろんぶんはきかきなおすべきだ。
そんなことを人に言うべきではありません。|そんなことをひとにいうべきではありません。
君も来るべきでしたよ。|きみもきたるべきでしたよ。
山田には話すべきじゃなかった。|やまだにははなすべきじゃなかった。
話すべきことは全部話しました。|はなすべきことはぜんぶはなしました。
自分のことは自分ですべきだ。|じぶんのことはじぶんですべきだ。
今、家を買うべきじゃないよ。|いま、いえをかうべきじゃないよ。
それは課長にも言っておくべきだったね。|それはかちょうにもいっておくべきだったね。
彼は結婚なんかするべきじゃなかったんだ。|かれはけっこんなんかするべきじゃなかったんだ。
我々はもっと創造的であるべきだ。|々われわれはもっとそうぞうてきであるべきだ。
この状態が現実であるべきだ。|このじょうたいがげんじつであるべきだ。
調査の結果、驚くべきことが分かった。|ちょうさのけっか、おどろくべきことがわかった。
田中は全く軽蔑すべき男だ。|たなかはまったくけいべつすべきおとこだ。
あるべき所に記述がない。|あるべきところにきじゅつがない。
体は年をとっても心は若くあるべきだ。|からだはとしをとってもこころはわかくあるべきだ。
学生は勉強するものだ。|がくせいはべんきょうするものだ。
君は勉強するべきだ。|きみはべんきょうするべきだ。
君はもっと勉強しなければならない。|きみはもっとべんきょうしなければならない。
君はもっと勉強すべきだ。|きみはもっとべんきょうすべきだ。
君はもっと勉強した方がいい。|きみはもっとべんきょうしたほうがいい。
ガソリンを十ドル分入れておきました。|ガソリンをドルぶんいれておきました。
私は今日三日分の仕事を片付けた。|わたしはきょうみっかぶんのしごとをかたづけた。
現金の不足分は小切手で払います。|げんきんのふそくぶんはこぎってではらいます。
会議の資料を六人分用意しておいて下さい。|かいぎのしりょうをろくにんぶんよういしておいてください。
ここは後でサインをしますので二行分あけておいて下さい。|ここはあとでサインをしますのでぎょうぶんあけておいてください。
私達は四か月分のボーナスをもらった。|わたしたちはかげつぶんのボーナスをもらった。
トラック三台分のごみが出た。|トラックさんだいぶんのごみがでた。
政府は十万人分の食料を被災地に送った。|せいふはじゅうまんにんぶんのしょくりょうをひさいちにおくった。
学校当局は諸経費の増加分を授業料の値上げでカバーしようとしている。|がっこうとうきょくはしょけいひのぞうかぶんをじゅぎょうりょうのねあげでカバーしようとしている。
吉田は鮨を五人前平らげた。|よしだはすしをごにんまえたいらげた。
日本の経済力は伸びている。だが、いつまで続くかは分からない。|にほんのけいざいりょくはのびている。だが、いつまでつづくかはわからない。
都会の生活は便利だ。だが、ストレスが多すぎる。|とかいのせいかつはべんりだ。だが、ストレスがおおすぎる。
私は彼女とは初めて会った。だが、前から知っていたような親しみを感じた。|わたしはかのじょとははじめてあった。だが、まえからしっていたようなしたしみをかんじた。
山本は医者に何度もたばこをやめるように言われた。だが、やめる気はないらしい。|やまもとはいしゃになんどもたばこをやめるようにいわれた。だが、やめるきはないらしい。
あの人には才能がある。だが、その才能を使っていない。|あのひとにはさいのうがある。だが、そのさいのうをつかっていない。
今日の試験のために寝ないで勉強した。だが、さっぱり出来なかった。|きょうのしけんのためにねないでべんきょうした。だが、さっぱりできなかった。
妹はよく勉強するし、頭もいい。だが、成績はなぜかよくない。|いもうとはよくべんきょうするし、あたまもいい。だが、せいせきはなぜかよくない。
ーあの男はなかなか切れるな。<br>ーだがね、奴は性格は悪いんだ。|ーあのおとこはなかなかきれるな。<br/>ーだがね、やつはせいかくはわるいんだ。
ー仕事はお忙しいでしょう。<br>ーええ、でも、面白いんです。|ーしごとはおいそがしいでしょう。<br/>ーええ、でも、おもしろいんです。
日本へ行きたくて仕方がないんです。ですが、お金がないから、行けません。|にほんへいきたくてしかたがないんです。ですが、おかねがないから、いけません。
今東京に来ていますが、東京は、やはり、活気がありますね。|こんとうきょうにきていますが、とうきょうは、やはり、かっきがありますね。
チェンさんは日本語が苦手だ。テストではいつも半分も出来ない。だからと言って、頭が悪いわけではない。|チェンさんはにほんごがにがてだ。テストではいつもはんぶんもできない。だからといって、あたまがわるいわけではない。
吉田さんは日本人だ。しかも、小説家だ。だからと言って、日本語が教えられるとは限らない。|よしださんはにほんじんだ。しかも、しょうせつかだ。だからといって、にほんごがおしえられるとはかぎらない。
彼は若い。経験も浅い。だからと言って教えられないわけではない。|かれはわかい。けいけんもあさい。だからといっておしえられないわけではない。
ジョンは奥さんのことをちょっとも褒めない。時々口をきかないこともある。だからと言って、奥さんを愛していないわけではない。|ジョンはおくさんのことをちょっともほめない。々ときどきくちをきかないこともある。だからといって、おくさんをあいしていないわけではない。
僕は毎日運動をしている。食べ物にも注意している。しかし、だからと言って、長生きする保証はない。|ぼくはまいにちうんどうをしている。べたべものにもちゅういしている。しかし、だからといって、ながいきするほしょうはない。
日本人は集団行動が好きだと言われる。何をするにも一緒にやる。しかし、だからと言って、個人行動が全くないわけではない。|にほんじんはしゅうだんこうどうがすきだといわれる。なにをするにもいっしょにやる。しかし、だからといって、こじんこうどうがまったくないわけではない。
魚は健康にいい。しかし、だからと言って、魚ばかり食べていたら、体に悪いはずだ。|さかなはけんこうにいい。しかし、だからといって、さかなばかりたべていたら、からだにわるいはずだ。
日本語はよく難しい言語だといわれる。文法が複雑だし、漢字を覚えるのも大変だ。だからと言って、外国人が学べないわけではない。|にほんごはよくむずかしいげんごだといわれる。ぶんぽうがふくざつだし、かんじをおぼえるのもたいへんだ。だからといって、がいこくじんがまなべないわけではない。
君はここに座ってるだけでよい。|きみはここにすわってるだけでよい。
私は筆跡を見ただけで誰が書いたか分かった。|わたしはひっせきをみただけでだれがかいたかわかった。
この植木は二週間に一度水をやるだけでよい。|このうえきはにしゅうかんにいちどみずをやるだけでよい。
この用紙にサインしていただくだけで結構です。|このようしにサインしていただくだけでけっこうです。
本当に来るだけでいいんですか。|ほんとうにくるだけでいいんですか。
その会議では私はただ座っているだけでよかった。|そのかいぎではわたしはただすわっているだけでよかった。
村上君は一週間勉強しただけであの試験に通ったそうだ。|むらかみくんはいっしゅうかんべんきょうしただけであのしけんにとおったそうだ。
お金を入れてボタンを押すだけで温かいラーメンが出てくる自動販売機がある。|おかねをいれてボタンをおすだけであたたかいラーメンがでてくるじどうはんばいきがある。
頭金一万円を払うだけで品物をお届けします。|あたまきんいちまんえんをはらうだけでしなものをおとどけします。
聞くだけで胸が悪くなるような話だ。|きくだけでむねがわるくなるようなはなしだ。
スミスさんはいつも泥だらけの靴を履いています。|スミスさんはいつもどろだらけのくつをはいています。
この作文は間違いだらけです。|このさくぶんはまちがいだらけです。
長いこと掃除をしていなかったらしく、床も机の上もほこりだらけだった。|ながいことそうじをしていなかったらしく、ゆかもつくえのうえもほこりだらけだった。
病院に担ぎ込んだ時、その男の顔は血だらけだった。|びょういんにかつぎこんだとき、そのおとこのかおはちだらけだった。
泥だらけの足で入ってこないで。|どろだらけのあしではいってこないで。
借金だらけの生活をしています。|しゃっきんだらけのせいかつをしています。
この貝は砂だらけで食べにくい。|このかいはすなだらけでたべにくい。
床の上には札束がゴロゴロしていた。|ゆかのうえにはさつたばがゴロゴロしていた。
その学生の論文にはいいアイディアがいっぱいあった。|そのがくせいのろんぶんにはいいアイディアがいっぱいあった。
私の作文は訂正だらけだった。|わたしのさくぶんはていせいだらけだった。
僕のズボンは穴だらけだ。|ぼくのズボンはあなだらけだ。
少年の顔はにきびだらけだった。|しょうねんのかおはにきびだらけだった。
凸凹だらけの道を三時間も運転して、疲れてしまった。|でこぼこだらけのみちをさんじかんもうんてんして、つかれてしまった。
この翻訳は一ページで二千円お払いします。|このほんやくはページでにせんえんおはらいします。
このアルバイトは一時間で千円払ってくれます。|このアルバイトはいちじかんでせんえんはらってくれます。
昨日は一日で本を五百ページ読んだ。|きのうはいちにちでほんをごひゃくページよんだ。
食べて飲んで、五人で、七万円ぐらいでした。|たべてのんで、ごにんで、ななまんえんぐらいでした。
この林檎は一山で二百円です。|このりんごはひとやまでにひゃくえんです。
日本経済は今後も成長を続けるであろう。|にほんけいざいはこんごもせいちょうをつづけるであろう。
このようなブームはもう二度と起こらないであろう。|このようなブームはもうにどとおこらないであろう。
この次に起こる地震は非常に大きいであろうと予想される。|このつぎにおこるじしんはひじょうにおおきいであろうとよそうされる。
その交渉は極めて困難であろう。|そのこうしょうはきわめてこんなんであろう。
この辺りは昔、湖だったであろうと思われる。|このあたりはむかし、みずうみだったであろうとおもわれる。
私達はいつか起こるであろう大地震に対して備えておかなければならない。|わたしたちはいつかおこるであろうだいじしんにたいしてそなえておかなければならない。
彼はもうここへは来るまい。|かれはもうここへはくるまい。
「坊っちゃん」は漱石の初期の代表作である。|「ぼっちゃん」はそうせきのしょきのだいひょうさくである。
今年の水不足は極めて深刻である。|ことしのみずぶそくはきわめてしんこくである。
人間は考える葦ある。|にんげんはかんがえるあしある。
日本語があいまいな言語であるというのは誤りである。|にほんごがあいまいなげんごであるというのはあやまりである。
大型車に一人で乗るのは不経済である。|おおがたしゃにひとりでのるのはふけいざいである。
彼に何度も手紙を書いたが無駄であった。|かれになんどもてがみをかいたがむだであった。
日本語では文脈から分かることは原則として言わないのである。|にほんごではぶんみゃくからわかることはげんそくとしていわないのである。
彼らが出来ないのは練習していないからである。|かれらができないのはれんしゅうしていないからである。
漱石の代表作の「坊っちゃん」は明治三十九年に書かれた。|そうせきのだいひょうさくの「ぼっちゃん」はめいじさんじゅうくねんにかかれた。
彼が一級のピアニストであることは疑う余地がない。|かれがいっきゅうのピアニストであることはうたがうよちがない。
これは漱石の書いたものらしい。|これはそうせきのかいたものらしい。
この方法の方が効果的であるかもしれない。|このほうほうのほうがこうかてきであるかもしれない。
ジムは日本語の会話が出来ないどころか、簡単なあいさつも出来ない。|ジムはにほんごのかいわができないどころか、かんたんなあいさつもできない。
スミスさんは日本語の新聞が読めるどころか、平仮名も知らない。|スミスさんはにほんごのしんぶんがよめるどころか、ひらがなもしらない。
ジョンソンさんは漢字が書けないどころか、平仮名も書けない。|ジョンソンさんはかんじがかけないどころか、ひらがなもかけない。
スミスさんは日本語が書けないどころか、日本語で小説が書けるぐらいだ。|スミスさんはにほんごがかけないどころか、にほんごでしょうせつがかけるぐらいだ。
クラークさんは刺し身が食べられるどころか、納豆まで食べられる。|クラークさんはしさしみがたべられるどころか、なっとうまでたべられる。
あの人は本を読むどころか、新聞も読まない。|あのひとはほんをよむどころか、しんぶんもよまない。
父は運動をするどころか、家から一歩も出ない。|ちちはうんどうをするどころか、いえからいっぽもでない。
今年の八月は暑いどころか、寒かった。|ことしのはちがつはあついどころか、さむかった。
私の父は丈夫などころか、寝たきりです。|わたしのちちはじょうぶなどころか、ねたきりです。
食事はご馳走どころか、豚のえさみたいだった。|しょくじはごちそうどころか、ぶたのえさみたいだった。
この文の意味がどうもよく分からない。|このぶんのいみがどうもよくわからない。
鈴木さんはどうも京都大学に入りたいらしい。|すずきさんはどうもきょうとだいがくにはいりたいらしい。
あの先生の授業はどうも面白くない。|あのせんせいのじゅぎょうはどうもおもしろくない。
このごろどうも体の調子がよくないんです。|このごろどうもからだのちょうしがよくないんです。
あの人の日本語はどうも聞きにくい。|あのひとのにほんごはどうもききにくい。
先生、この問題の意味がどうもつかめないんです。|せんせい、このもんだいのいみがどうもつかめないんです。
こんな田舎に住むのはどうも不便だ。|こんないなかにすむのはどうもふべんだ。
うちの子はテレビばかり見て、どうも本を読まない。|うちのこはテレビばかりみて、どうもほんをよまない。
あの先生はどうも厳しいようだ。|あのせんせいはどうもきびしいようだ。
ジョンは日本語を話すのは上手だが、読むのはどうも下手なようです。|ジョンはにほんごをはなすのはじょうずだが、よむのはどうもへたなようです。
その男がどうも犯人に違いないと思っていたが、やっぱりそうだった。|そのおとこがどうもはんにんにちがいないとおもっていたが、やっぱりそうだった。
父は症状からしてどうもがんになったらしい。|ちちはしょうじょうからしてどうもがんになったらしい。
彼女が今朝電車の中で僕に言ったことがどうも気になった。|かのじょがけさでんしゃのなかでぼくにいったことがどうもきになった。
先日はどうも。|せんじつはどうも。
どうもすみません。|どうもすみません。
兄は病気だ治ってどんなにうれしかったことか。|あにはびょうきだなおってどんなにうれしかったことか。
父は母をどんなに愛していたことか。|ちちはははをどんなにあいしていたことか。
日本へ行くまで日本がどんなに狭いか分からなかった。|にほんへいくまでにほんがどんなにせまいかわからなかった。
英夫は由美子に結婚を断られた時にどんなに残念に思ったことか。|ひでおはゆみこにけっこんをことわられたときにどんなにざんねんにおもったことか。
勉強が嫌いだった良夫には大学に入るのがどんなに難しかったか。|べんきょうがきらいだったよしおにはだいがくにはいるのがどんなにむずかしかったか。
圭子はどんなにフランスに留学したかったことか！|けいこはどんなにフランスにりゅうがくしたかったことか。
学生達はその厳しい先生をどんなに強く憎んだことか！|がくせいたちはそのきびしいせんせいをどんなにつよくにくんだことか
駅前のアパートはどんなに便利だったことか！|えきまえのアパートはどんなにべんりだったことか
一郎は親のもとを離れたとき、親がどんなに寂しがったが分からなかった。|いちろうはおやのもとをはなれたとき、おやがどんなにさびしがったがわからなかった。
受けても、どうせ駄目だから、文部省の留学生試験を受けないことにしました。|うけても、どうせだめだから、もんぶしょうのりゅうがくせいしけんをうけないことにしました。
どうせ外国旅行をするんなら、若いうちにした方がいい。|どうせがいこくりょこうをするんなら、わかいうちにしたほうがいい。
どうせこんなたくさんの宿題、出来るわけがないから、遊ぶことにしたよ。|どうせこんなたくさんのしゅくだい、できるわけがないから、あそぶことにしたよ。
人間はどうせ死ぬんだから、あくせく働いても仕方がない。|にんげんはどうせしぬんだから、あくせくはたらいてもしかたがない。
どうせ捨てられるのに、どうして彼の後を追うの？|どうせすてられるのに、どうしてかれのあとをおうの
どうせあの女性とは結婚出来ないよ。早くあきらめたほうがいいよ。|どうせあのじょせいとはけっこんできないよ。はやくあきらめたほうがいいよ。
ー君はこんなことが分からないのかい？<br>ーどうせ私はばかですよ。|ーきみはこんなことがわからないのかい<br/>ーどうせわたしはばかですよ。
どうせ来週日本へ行きますから、その辞書は日本で買います。|どうせらいしゅうにほんへいきますから、そのじしょはにほんでかいます。
私の家の庭は日本風に大きい石が置いてあります。|わたしのいえのにわはにほんふうにおおきいいしがおいてあります。
あんな風に勉強していたらいい成績は取れないだろう。|あんなふうにべんきょうしていたらいいせいせきはとれないだろう。
私は先生に頭がいいんだからもっと勉強しろという風によく言われた。|わたしはせんせいにあたまがいいんだからもっとべんきょうしろというふうによくいわれた。
ーこれはどんな風に持ったらいいんですか。<br>ーこんな風に持ってください。|ーこれはどんなふうにもったらいいんですか。<br/>ーこんなふうにもってください。
あんな風に毎日飲んでいたら、きっと病気になるでしょう。|あんなふうにまいにちのんでいたら、きっとびょうきになるでしょう。
このカレーライスはインド風に、とても辛くしてあります。|このカレーライスはインドふうに、とてもからくしてあります。
ジェミーが日本風のお辞儀をした時にはびっくりした。|ジェミーがにほんふうのおじぎをしたときにはびっくりした。
京子は、今日はお花、あすはダンスという風に、毎日何かを習いに行っている。|きょうこは、きょうはおはな、あすはダンスというふうに、まいにちなにかをならいにいっている。
お母さんは入院なさったという風に人から伺いましたが、いかがですか。|おかあさんはにゅういんなさったというふうにひとからうかがいましたが、いかがですか。
教育改善のためなら、いくらお金を使ってもいい、という風になればいいんですがね。|きょういくかいぜんのためなら、いくらおかねをつかってもいい、というふうになればいいんですがね。
田中君は最近授業を休みがちだ。|たなかくんはさいきんじゅぎょうをやすみがちだ。
それは日本に短期間滞在した外国人にありがちな誤解だ。|それはにほんにたんきかんたいざいしたがいこくじんにありがちなごかいだ。
私は小さい時病気がちでした。|わたしはちいさいときびょうきがちでした。
この辺りは昼間留守がちの家が多い。|このあたりはひるまるすがちのかがおおい。
夏はややもすると塩分が不足しがちだ。|なつはややもするとえんぶんがふそくしがちだ。
この時計は最近遅れがちだ。|このとけいはさいきんおくれがちだ。
人はともすると自分の都合のいいように物事を考えがちだ。|ひとはともするとじぶんのつごうのいいようにものごとをかんがえがちだ。
若いうちがとかく物事を一途に考えがちだ。|わかいうちがとかくものごとをいっとにかんがえがちだ。
私は最近週末もうちを空けがちです。|わたしはさいきんしゅうまつもうちをあけがちです。
これはアメリカ人の学生が犯しがちな間違いだ。|これはアメリカじんのがくせいがおかしがちなまちがいだ。
明日は曇りがちの天気でしょう。|あしたはくもりがちのてんきでしょう。
私のクラスには病気がちの学生が何人かいる。|わたしのクラスにはびょうきがちのがくせいがなんにんかいる。
彼女は遠慮がちに話した。|かのじょはえんりょがちにはなした。
妙子は最近太りがちだ。|たえこはさいきんふとりがちだ。
妙子は最近太りぎみだ。|たえこはさいきんふとりぎみだ。
私は今日ちょっと風邪ぎみです。|わたしはきょうちょっとかぜぎみです。
彼のしたことは許しがたい。|かれのしたことはゆるしがたい。
この旅行は私にとって忘れがたい思い出になるだろう。|このりょこうはわたしにとってわすれがたいいおもいでになるだろう。
彼の行為は理解しがたい。|かれのこういはりかいしがたい。
あの先生は偉すぎて私には近寄りがたい。|あのせんせいはえらすぎてわたしにはちかよりがたい。
この二つの作品は甲乙付けがたい。|このふたつのさくひんはこうおつつけがたい。
このプロジェクトは成功したとは言いがたい。|このプロジェクトはせいこうしたとはいいがたい。
ジョーンズ氏は得がたい人物だ。|ジョーンズしはえがたいじんぶつだ。
我々は彼の犯行に関する動かしがたい証拠をつかんだ。|々われわれはかれのはんこうにかんするうごかしがたいしょうこをつかんだ。
私は過去に彼から耐えがたい屈辱を受けた。|わたしはかこにかれからたえがたいくつじょくをうけた。
彼のしたことは許せない。|かれのしたことはゆるせない。
山田さんの字は読みにくい。|やまださんのじはよみにくい。
山田さんの字は読みづらい。|やまださんのじはよみづらい。
この戸は開きにくい。|このとはひらきにくい。
この木は燃えにくい。|このきはもえにくい。
このコピーは字が薄くて読みづらい。|このコピーはじがうすくてよみづらい。
このコピーは字が薄くて読みにくい。|このコピーはじがうすくてよみにくい。
歯が悪いので堅いステーキは食べづらい。|はがわるいのでかたいステーキはたべづらい。
歯が悪いので堅いステーキは食べにくい。|はがわるいのでかたいステーキはたべにくい。
単語は例文と一緒に覚えれば忘れにくい。|たんごはれいぶんといっしょにおぼえればわすれにくい。
薬を飲んだら、逆に熱が出た。|くすりをのんだら、ぎゃくにねつがでた。
叱られると思ったのに、逆にほめられた。|しかられるとおもったのに、ぎゃくにほめられた。
会話を強調すると文法が不正確になる。逆に、文法は強調すると話せなくなる。|かいわをきょうちょうするとぶんぽうがふせいかくになる。ぎゃくに、ぶんぽうはきょうちょうするとはなせなくなる。
しばらく練習をしなかったら、逆に成績が伸びた。|しばらくれんしゅうをしなかったら、ぎゃくにせいせきがのびた。
寝すぎると、元気にならないで、逆に疲れてしまう。|ねすぎると、げんきにならないで、ぎゃくにつかれてしまう。
文句を言ってやろうと思っていたら、逆に文句を言われてしまった。|もんくをいってやろうとおもっていたら、ぎゃくにもんくをいわれてしまった。
一生懸命仕事をしたのに、逆に仲間に嫌われてしまった。|いっしょうけんめいしごとをしたのに、ぎゃくになかまにきらわれてしまった。
ガールフレンドを喜ばせようとしたのに、逆に怒らせてしまった。|ガールフレンドをよろこばせようとしたのに、ぎゃくにおこらせてしまった。
その試験に落ちるだろうと思っていたのに、逆に一番で通ってしまった。|そのしけんにおちるだろうとおもっていたのに、ぎゃくにいちばんでとおってしまった。
人に親切にすることは一般にいいことだと考えられている。しかし、親切にすることが、逆に人を傷つけることもある。|ひとにしんせつにすることはいっぱんにいいことだとかんがえられている。しかし、しんせつにすることが、ぎゃくにひとをきずつけることもある。
あの子は優しくすると付け上がる。逆に厳しくするとすぐ泣く。|あのこはやさしくするとけつけあがる。ぎゃくにきびしくするとすぐなく。
いい演技をするためには緊張しすぎてはいけない。しかし、逆にリラックスしすぎてもいい演技は出来ない。|いいえんぎをするためにはきんちょうしすぎてはいけない。しかし、ぎゃくにリラックスしすぎてもいいえんぎはできない。
この音楽は舞台に近いほど聞きやすい。|このおんがくはぶたいにちかいほどききやすい。
上空に行くほど酸素が薄くなる。|じょうくうにいくほどさんそがうすくなる。
私は難しい仕事ほどやる気が出てくる。|わたしはむずかしいしごとほどやるきがでてくる。
子供は小言を言うほど反発するものだ。|こどもはこごとをいうほどはんぱつするものだ。
私は静かなほど落ち着かない。|わたしはしずかなほどちおちつかない。
駅に近くなるほど家賃が高くなる。|えきにちかくなるほどやちんがたかくなる。
運動するほど体の調子が変になる。|うんどうするほどからだのちょうしがへんになる。
元気な人ほど無理をしがちだ。|げんきなひとほどむりをしがちだ。
あまり働かない者ほど不平が多い。|あまりはたらかないものほどふへいがおおい。
私は仕事が難しいほどやる気が出てくる。|わたしはしごとがむずかしいほどやるきがでてくる。
山田さん以外の人はみんなそのことを知っています。|やまださんいがいのひとはみんなそのことをしっています。
日本語以外に何か外国語が話せますか。|にほんごいがいになにかがいこくごがはなせますか。
私には酒を飲む以外に何も楽しみがない。|わたしにはさけをのむいがいになにもたのしみがない。
私は日本酒以外の酒は飲まない。|わたしはにほんしゅいがいのさけはのまない。
我々の会社では現在オーストラリア以外の国と取引はない。|々われわれのかいしゃではげんざいオーストラリアいがいのくにととりひきはない。
アメリカ以外の国からもたくさん研究者が来た。|アメリカいがいのくにからもたくさんけんきゅうしゃがきた。
原因はこれ以外に考えられない。|げんいんはこれいがいにかんがえられない。
私は散歩以外にも毎日軽い運動をしている。|わたしはさんぽいがいにもまいにちかるいうんどうをしている。
ここで待っている以外ない。|ここでまっているいがいない。
安い以外に何かいいことがありますか。|やすいいがいになにかいいことがありますか。
この文は少し漢字の間違いがあるが、それ以外は完全だ。|このぶんはすこしかんじのまちがいがあるが、それいがいはかんぜんだ。
従業員以外立入禁止。 [Door sign]<br />|じゅうぎょういんいがいたちいりきんし。Doorsign<br/>
ほかの日は空いていませんか。|ほかのひはあいていませんか。
ほかは問題ありません。|ほかはもんだいありません。
ほかに何か質問はありませんか。|ほかになにかしつもんはありませんか。
お金以外なら何でも貸してあげるよ。|おかねいがいならなにでもかしてあげるよ。
お金以外だったら何でも貸してあげるよ。|おかねいがいだったらなにでもかしてあげるよ。
お金以外であれば何でも貸してあげるよ。|おかねいがいであればなにでもかしてあげるよ。
